,Username,Distance
0,从,
1,百里守家,900米以内
2,海不留 ＆,2公里以内－海淀区 C
3,王建龙 ＆,2公里以内－海淀区W
4,A,
5,阳,2公里以内－海淀区 C
6,知心爱人＆,2公里以内－海淀区
7,梁彦 ＆,2公里以内－海淀区
8,快乐时光_,2公里以内－海淀区
9,如歌＆,2公里以内－海淀区
10,樱桃 _,2公里以内－海淀区
11,王小洋 ＆,2公里以内-－海淀区
12,林林＆,2公里以内
13,正在翰入我得愛情..,2公里以内－海淀区
14,木子 ,2公里以内－海淀区
15,风调雨顺 ＆,2公里以内－海淀区
16,买了佛冷 _,2公里以内－海淀区 
17,笑对人生_,2公里以内－海淀区
18,静,3公里以内－海淀区
19,北京市海淀区1891172...,3公里以内－海淀区
20,顺子 ,3公里以内－海淀区
21,如果，有如果 _,3公里以内－海淀区
22,,3公里以内－海淀区
23,加菲,3公里以内－海淀区 
24,Terry &,2公里以内－海淀区
25,秋意浓,2公里以内－海淀区
26,-Amy-lan ,2公里以内－海淀区
27,1小L的老男孩,2公里以内－海淀区 (
28,顺其自然 ＆,2公里以内－海淀区
29,Younus Khan（李星）,2公里以内－海淀区
30,王良凤_,2公里以内－海淀区
31,顺其自然 ＆,2公里以内－海淀区
32,栗,2公里以内－海淀区
33,九幽,2公里以内－海淀区 (
34,正在翰入我得愛情..,2公里以内－海淀区
35,林林＆,2公里以内－海淀区
36,永远真诚 ＆,2公里以内－海淀区
37,麻勇＆,2公里以内－海淀区
38,金刚 ＆,2公里以内－海淀区
39,张京生 ＆,2公里以内－海淀区
40,AAA国总昌：,2公里以内－海淀区C
41,贝i_,2公里以内－海淀区 C
42,老巩。,2公里以内－海淀区
43,Enochの麻麻点,2公里以内－海淀区
44,王锐 ＆,2公里以内－海淀区
45,天高云淡＆,2公里以内－海淀区
46,王锐 ＆,2公里以内－海淀区
47,ld.dong ＆,2公里以内－海淀区
48,赏金猎人＆,2公里以内－海淀区 (
49,)(往后余生°520),2公里以内－海淀区 ?
50,达流士＆,2公里以内－海淀区
51,滩鸥鹭,
52,刁蛮公主_,2公里以内－海淀区
53,柒溪,2公里以内－海淀区
54,徐明英_,2公里以内－海淀区
55,好运来,2公里以内－海淀区
56,珠珠&,2公里以内－海淀区
57,菩提＆,2公里以内－海淀区
58,菩提,2公里以内－海淀区
59,公,
60,吕,2公里以内－海淀区
61,涅重生～～静心～.,2公里以内－海淀区
62,庸人自扰＆,2公里以内－海淀区
63,,2公里以内－海淀区
64,心向阳光＆,2公里以内－海淀区
65,珩晨＆,2公里以内－海淀区
66,安于此生 ＆,2公里以内－海淀区 C
67,曹&,2公里以内－海淀区
68,茫茫人海，相识是缘 ＆,2公里以内－海淀区
69,Terry ＆,2公里以内
70,张京生 ＆,2公里以内－海淀区
71,林林 ＆,2公里以内－海淀区
72,AAA国总昌：,2公里以内－海淀区 
73,金刚 ＆,2公里以内－海淀区
74,老巩 _,2公里以内－海淀区
75,天高云淡＆,2公里以内－海淀区
76,麻勇＆,2公里以内－海淀区
77,贝_,2公里以内－海淀区 (
78,Enochの麻麻众,2公里以内－海淀区
79,右手边边＆,2公里以内－海淀区
80,王锐 ＆,2公里以内
81,,8uU木以内
82,鹤立鸡群＆,900米以内
83,百里守家＆,900米以内
84,王建龙,1000米以内?
85,A阳,1000米以内 ?
86,知心爱人＆,1000米以内
87,快乐时光_,2公里以内－海淀区
88,海不留 ＆,2公里以内－海淀区 
89,王小洋&,2公里以内－海淀区
90,梁彦＆,2公里以内－海淀区
91,永远真诚 ＆,2公里以内－海淀区
92,张京生：,2公里以内
93,Aiemu(朋友）,100米以内
94,匆匆那年 ＆,200米以内
95,非常棒棒 ＆,300米以内
96,坐看青苔＆,400米以内
97,七米七飞翼18910201.,400米以内
98,驼鸟 ＆,700米以内
99,胡江龙,800米以内
100,一意孤行＆,800米以内
101,程孝德,800米以内
102,王淑玲_,800米以内
103,鹤立鸡群＆,900米以内
104,,3公里以内－海淀区
105,如果，有如果_,3公里以内－海淀区
106,静,3公里以内－海淀区
107,北京市海淀区1891172.．,3公里以内－海淀区
108,加菲&,3公里以内－海淀区 (
109,白文东＆,3公里以内－海淀区
110,顺子 ＆,3公里以内－海淀区
111,,3公里以内－海淀区
112,光～,3公里以内－海淀区
113,惠普专卖店＆,3公里以内－海淀区
114,逝-过去 ＆,3公里以内－海淀区
115,Aiemu(朋友）,100米以内
116,匆匆那年 ＆,200米以内
117,非常棒棒 ＆,300米以内
118,坐看青苔＆,400米以内
119,七米七飞翼18910201.,400米以内
120,驼鸟 ＆,700米以内
121,胡江龙,800米以内
122,一意孤行＆,800米以内
123,程孝德,800米以内
124,王淑玲_,800米以内
125,鹤立鸡群＆,900米以内
126,匆匆那年＆,200米以内
127,非常棒棒&,300米以内
128,七米七飞翼18910201．,400米以内
129,坐看青苔＆,400米以内
130,驼鸟 ＆,700米以内
131,王淑玲，,800米以内
132,胡江龙,800米以内
133,程孝德,800米以内
134,一意孤行＆,800米以内
135,鹤立鸡群&,900米以内
136,百里守家＆,900米以内
137,王艮凤_,2公里以内－海淀区
138,栗＆,2公里以内－海淀区
139,九幽 ＆,2公里以内－海淀区 C
140,正在翰入我得愛情.．,2公里以内－海淀区
141,木子 ＆,2公里以内－海淀区
142,买了佛冷,2公里以内－海淀区 
143,风调雨顺 ＆,2公里以内－海淀区
144,笑对人生 _,3公里以内－海淀区
145,王者之风＆,3公里以内－海淀区
146,Zcw &,3公里以内－海淀区
147,如果，有如果 _,3公里以内－海淀区
148,,2公里以内－海淀区
149,心向阳光 ＆,2公里以内－海淀区
150,曹,2公里以内－海淀区
151,安于此生 ＆,2公里以内－海淀区 C
152,茫茫人海，相识是缘 ＆,2公里以内－海淀区
153,Younus Khan（李星）,2公里以内－海淀区
154,顺其自然＆,2公里以内－海淀区
155,-Amy-lan ,2公里以内－海淀区
156,顺其自然＆,2公里以内－海淀区
157,1小L的老男孩,2公里以内－海淀区 
158,王良凤_,2公里以内－海淀区
159,天高云淡＆,2公里以内－海淀区
160,右手边边＆,2公里以内－海淀区
161,赏金猎人＆,2公里以内－海淀区 ①
162,Id.dong ＆,2公里以内－海淀区
163,c)(往后余生520),2公里以内－海淀区C
164,达流士＆,
165,争渡争渡 惊起一,2公里以内－海淀区
166,滩鸥鹭,
167,柒溪_,2公里以内－海淀区
168,朝歌晚酒。＆,2公里以内－海淀区
169,刁蛮公主 _,2公里以内－海淀区
170,徐明英 _,2公里以内－海淀区
171,好运来,2公里以内－海淀区
172,好运来,2公里以内－海淀区
173,吕,
174,公,2公里以内－海淀区
175,珠珠_,2公里以内－海淀区
176,菩提＆,2公里以内－海淀区
177,珩晨＆,2公里以内－海淀区
178,涅重生～～静心～．．,2公里以内－海淀区
179,庸人自扰＆,2公里以内－海淀区
180,,2公里以内－海淀区
181,秋意浓,2公里以内－海淀区
182,Terry &,2公里以内－海淀区
183,心向阳光＆,2公里以内
